H [A/m] - Hystereschleife	
	B [T] - Hystereschleife
	H [A/m] - Neukurve
	B [T] - Neukurve
	
40,9762	0,000109944
41,1633	0,000436228
41,3971	0,000762384
41,5375	0,00108867
41,5375	0,00141495
41,8181	0,00174124
41,9585	0,00206752
41,9585	0,00239368
42,0988	0,00271983
42,3327	0,00304599
42,3327	0,00337214
42,4262	0,00369817
42,7069	0,00402394
42,8472	0,00434971
42,9408	0,00467561
43,1279	0,00500139
43,2214	0,0053269
43,2682	0,00565242
43,4085	0,00597793
43,6424	0,00630319
43,736	0,00662845
43,9231	0,00695383
43,9698	0,00727896
44,157	0,00760371
44,2505	0,00792845
44,3908	0,00825307
44,5312	0,0085773
44,5779	0,00890154
44,7183	0,00922577
44,8586	0,00954987
45,0457	0,00987385
45,1393	0,0101977
45,1393	0,0105213
45,4199	0,0108448
45,5135	0,0111682
45,5602	0,0114916
45,7006	0,0118148
45,8877	0,0121378
45,9812	0,0124609
46,028	0,012784
46,1683	0,0131071
46,3087	0,01343
46,449	0,0137528
46,5893	0,0140757
46,6829	0,0143985
46,8232	0,0147212
46,87	0,0150436
47,0103	0,0153658
47,1974	0,015688
47,1506	0,01601
47,3377	0,0163317
47,4781	0,0166532
47,5249	0,0169747
47,6652	0,0172959
47,8055	0,0176168
47,9926	0,0179371
48,0394	0,0182571
48,0862	0,0185768
48,2265	0,0188963
48,2733	0,0192157
48,4136	0,0195348
48,5539	0,0198539
48,6943	0,0201729
48,6943	0,0204916
48,7878	0,0208103
48,9749	0,0211289
49,0217	0,0214471
49,162	0,0217651
49,3024	0,0220828
49,3959	0,0224001
49,4427	0,0227171
49,5362	0,0230339
49,6766	0,0233506
49,6766	0,0236667
49,8169	0,0239824
49,9105	0,0242978
50,0508	0,0246128
50,004	0,0249277
50,1911	0,0252425
50,3314	0,0255573
50,3314	0,0258719
50,5653	0,0261864
50,7057	0,0265007
50,846	0,0268151
50,846	0,0271293
50,8928	0,027443
51,1266	0,0277564
51,1734	0,0280693
51,1734	0,0283815
51,3605	0,0286932
51,5944	0,0290045
51,5009	0,0293155
51,5476	0,0296264
51,8283	0,029937
51,8283	0,0302475
51,8751	0,0305578
51,9686	0,0308677
52,0622	0,0311773
52,0622	0,0314865
52,3428	0,0317951
52,3896	0,0321031
52,4364	0,0324105
